optimal path:10
instance prb20800 iteration 0 path_length 201 [5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6]
instance prb20800 iteration 1 path_length 165 [5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6]
instance prb20800 iteration 2 path_length 20 [5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]
instance prb20800 iteration 3 path_length 201 [5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]
instance prb20800 iteration 4 path_length 201 [5, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]
instance prb20800 iteration 5 path_length 45 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7]
instance prb20800 iteration 6 path_length 18 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7]
instance prb20800 iteration 7 path_length 33 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7]
instance prb20800 iteration 8 path_length 28 [6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7]
instance prb20800 iteration 9 path_length 33 [6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 10 path_length 54 [6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 11 path_length 126 [6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 12 path_length 157 [6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 13 path_length 110 [6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 14 path_length 72 [6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 15 path_length 153 [6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 16 path_length 21 [6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 17 path_length 11 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 18 path_length 25 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 19 path_length 76 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 20 path_length 11 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 21 path_length 94 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 22 path_length 14 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 23 path_length 80 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 24 path_length 201 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 25 path_length 17 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 26 path_length 29 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 27 path_length 31 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 28 path_length 15 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
instance prb20800 iteration 29 path_length 14 [7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]
