instance optimal_length iteration path_length move_estimates
prb20800 10 0 182 [5,5,5,5,5,5,5,5,5,5,6,6,6,6,6]
prb20800 10 1 40 [5,5,5,5,5,5,5,5,6,6,6,6,6,6,6]
prb20800 10 2 30 [5,5,5,5,5,5,6,6,6,6,6,6,6,6,6]
prb20800 10 3 201 [5,5,5,5,5,6,6,6,6,6,6,6,6,6,6]
prb20800 10 4 201 [5,5,5,5,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 5 106 [5,5,5,6,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 6 29 [5,6,6,6,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 7 72 [5,6,6,6,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 8 58 [5,6,6,6,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 9 19 [6,6,6,6,6,6,6,6,6,6,6,6,6,6,6]
prb20800 10 10 68 [6,6,6,6,6,6,6,6,6,6,6,6,6,6,7]
prb20800 10 11 59 [6,6,6,6,6,6,6,6,6,6,6,6,6,7,7]
prb20800 10 12 201 [6,6,6,6,6,6,6,6,6,6,7,7,7,7,7]
prb20800 10 13 176 [6,6,6,6,6,6,6,6,6,6,7,7,7,7,7]
prb20800 10 14 81 [6,6,6,6,6,6,6,6,6,7,7,7,7,7,7]
prb20800 10 15 24 [6,6,6,6,6,6,6,6,7,7,7,7,7,7,7]
prb20800 10 16 115 [6,6,6,6,6,6,7,7,7,7,7,7,7,7,7]
prb20800 10 17 50 [6,6,6,6,6,7,7,7,7,7,7,7,7,7,7]
prb20800 10 18 97 [6,6,6,6,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 19 35 [6,6,6,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 20 27 [6,6,7,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 21 179 [6,7,7,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 22 104 [7,7,7,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 23 84 [7,7,7,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 24 113 [7,7,7,7,7,7,7,7,7,7,7,7,7,7,8]
prb20800 10 25 201 [7,7,7,7,7,7,7,7,7,7,7,7,7,7,7]
prb20800 10 26 87 [7,7,7,7,7,7,7,7,7,7,7,7,7,7,8]
prb20800 10 27 155 [7,7,7,7,7,7,7,7,7,7,7,7,7,8,8]
prb20800 10 28 40 [7,7,7,7,7,7,7,7,7,7,7,7,8,8,8]
prb20800 10 29 170 [7,7,7,7,7,7,7,7,7,7,7,8,8,8,8]
prb20800 10 30 201 [7,7,7,7,7,7,7,7,7,8,8,8,8,8,8]
prb20800 10 31 58 [7,7,7,7,7,7,7,7,8,8,8,8,8,8,8]
prb20800 10 32 175 [7,7,7,7,7,7,7,8,8,8,8,8,8,8,8]
prb20800 10 33 67 [7,7,7,7,7,7,8,8,8,8,8,8,8,8,8]
prb20800 10 34 18 [7,7,7,7,7,8,8,8,8,8,8,8,8,8,8]
prb20800 10 35 61 [7,7,7,7,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 36 81 [7,7,7,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 37 24 [7,7,8,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 38 49 [7,8,8,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 39 43 [7,8,8,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 40 48 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 41 73 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,8]
prb20800 10 42 21 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 43 56 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 44 55 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 45 19 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 46 55 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 47 33 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 48 51 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 49 82 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 50 94 [8,8,8,8,8,8,8,8,8,8,8,8,8,8,9]
prb20800 10 51 30 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 52 32 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
prb20800 10 53 139 [8,8,8,8,8,8,8,8,8,8,8,8,8,9,9]
