samples function value
91 action-logp -2.80820261477
91 whole-Plan-logp -2.86190436572
92 action-logp -2.87474652349
92 whole-Plan-logp -2.96139238178
93 action-logp -2.78113908647
93 whole-Plan-logp -2.95597190395
94 action-logp -2.85234680057
94 whole-Plan-logp -2.89271193153
95 action-logp -2.85548457282
95 whole-Plan-logp -2.79583668811
96 action-logp -2.86303026909
96 whole-Plan-logp -3.09073189256
97 action-logp -2.84500454448
97 whole-Plan-logp -2.76131680907
98 action-logp -2.55386013954
98 whole-Plan-logp -2.88350478586
99 action-logp -2.63793142984
99 whole-Plan-logp -2.92792001316
100 action-logp -2.95462868504
100 whole-Plan-logp -2.70040436004
101 action-logp -2.84039197394
101 whole-Plan-logp -2.87574831806
102 action-logp -2.57052537301
102 whole-Plan-logp -2.95542227204
103 action-logp -2.77422267901
103 whole-Plan-logp -2.95938862223
104 action-logp -2.75931552025
104 whole-Plan-logp -2.87170736961
105 action-logp -2.98778133803
105 whole-Plan-logp -3.01181850014
106 action-logp -2.68283909111
106 whole-Plan-logp -2.95175857123
107 action-logp -2.78959818572
107 whole-Plan-logp -2.91620224039
108 action-logp -2.76816305215
108 whole-Plan-logp -2.87806929366
109 action-logp -2.67388279781
109 whole-Plan-logp -2.95750086613
110 action-logp -2.44974879399
110 whole-Plan-logp -2.99610785163
111 action-logp -2.66130360242
111 whole-Plan-logp -2.89627898844
112 action-logp -2.6339610786
112 whole-Plan-logp -2.82475012236
113 action-logp -2.71267820906
113 whole-Plan-logp -2.95030157356
114 action-logp -2.68458338598
114 whole-Plan-logp -2.81117033832
115 action-logp -2.69527685992
115 whole-Plan-logp -2.97482102737
116 action-logp -2.63643678625
116 whole-Plan-logp -2.85371093809
117 action-logp -2.72775945476
117 whole-Plan-logp -3.159477927
118 action-logp -2.74972837897
118 whole-Plan-logp -2.85317099021
119 action-logp -2.83180192327
119 whole-Plan-logp -2.84132987088
120 action-logp -3.03002333483
120 whole-Plan-logp -2.89609069441
121 action-logp -3.0594029612
121 whole-Plan-logp -2.78219626433
122 action-logp -2.51541897141
122 whole-Plan-logp -2.87377132662
123 action-logp -3.02768275737
123 whole-Plan-logp -2.80529720511
124 action-logp -2.8387332466
124 whole-Plan-logp -2.87581682009
125 action-logp -2.85161593962
125 whole-Plan-logp -2.75339809046
126 action-logp -2.90456144221
126 whole-Plan-logp -2.68867135122
127 action-logp -2.64596892148
127 whole-Plan-logp -2.85433727495
128 action-logp -2.77267548866
128 whole-Plan-logp -2.65874558535
129 action-logp -2.84773825499
129 whole-Plan-logp -2.71152597888
130 action-logp -2.81225553134
130 whole-Plan-logp -2.90276391291
131 action-logp -2.80911072345
131 whole-Plan-logp -2.87834270629
132 action-logp -2.79458987247
132 whole-Plan-logp -2.94770557408
133 action-logp -2.54643473229
133 whole-Plan-logp -2.89093559893
134 action-logp -2.89580296518
134 whole-Plan-logp -2.90930686387
135 action-logp -2.73209359147
135 whole-Plan-logp -2.86552125066
136 action-logp -2.95029326694
136 whole-Plan-logp -2.8477038432
137 action-logp -2.87356730751
137 whole-Plan-logp -2.82941641684
138 action-logp -2.72265107038
138 whole-Plan-logp -2.61440463217
139 action-logp -2.82239086219
139 whole-Plan-logp -2.95001033178
140 action-logp -2.80926308737
140 whole-Plan-logp -2.76694634098
141 action-logp -2.66821471403
141 whole-Plan-logp -2.81298898381
142 action-logp -2.71921113067
142 whole-Plan-logp -2.83162182721
143 action-logp -2.87583814168
143 whole-Plan-logp -2.91535373475
144 action-logp -2.47172304109
144 whole-Plan-logp -2.79282281776
145 action-logp -2.63601192592
145 whole-Plan-logp -2.97065806122
146 action-logp -2.70957206009
146 whole-Plan-logp -2.82579925312
147 action-logp -2.65714725847
147 whole-Plan-logp -2.85446023209
148 action-logp -2.6939188882
148 whole-Plan-logp -2.70436489038
149 action-logp -2.57442552324
149 whole-Plan-logp -2.79605361448
150 action-logp -2.7165180449
150 whole-Plan-logp -2.84348382374
151 action-logp -2.83429498386
151 whole-Plan-logp -2.8478647211
152 action-logp -2.96036490723
152 whole-Plan-logp -2.74592747063
153 action-logp -2.69259348923
153 whole-Plan-logp -2.88682740095
154 action-logp -2.758610568
154 whole-Plan-logp -2.83317141533
155 action-logp -2.67852266014
155 whole-Plan-logp -2.85159637194
156 action-logp -2.71458973743
156 whole-Plan-logp -2.65254348567
157 action-logp -2.59710219984
157 whole-Plan-logp -2.87041322987
158 action-logp -2.71125828973
158 whole-Plan-logp -2.93268331848
159 action-logp -2.8576518109
159 whole-Plan-logp -2.83785010838
160 action-logp -2.83255120584
160 whole-Plan-logp -2.84258465478
161 action-logp -2.93007203289
161 whole-Plan-logp -2.79364034225
162 action-logp -2.4633063544
162 whole-Plan-logp -2.9137830915
163 action-logp -2.78935538976
163 whole-Plan-logp -2.93778040978
164 action-logp -2.77094017597
164 whole-Plan-logp -2.63283056687
165 action-logp -2.60173226793
165 whole-Plan-logp -2.86967706027
166 action-logp -2.52422623468
166 whole-Plan-logp -2.79024692955
167 action-logp -2.65012992663
167 whole-Plan-logp -2.81379612932
168 action-logp -2.75588545663
168 whole-Plan-logp -2.94364088734
169 action-logp -2.66312603464
169 whole-Plan-logp -2.84414374252
170 action-logp -2.57111504688
170 whole-Plan-logp -2.75721919499
171 action-logp -2.83783454617
171 whole-Plan-logp -2.94813767785
172 action-logp -2.76112407812
172 whole-Plan-logp -2.94375288495
173 action-logp -2.96698053238
173 whole-Plan-logp -2.93167411693
174 action-logp -2.69727777363
174 whole-Plan-logp -2.80424093552
175 action-logp -2.83629799954
175 whole-Plan-logp -2.86743602797
176 action-logp -2.48490224096
176 whole-Plan-logp -2.94743188
177 action-logp -2.5607003535
177 whole-Plan-logp -2.99190973126
178 action-logp -2.70422148361
178 whole-Plan-logp -2.72570608598
179 action-logp -2.81611483205
179 whole-Plan-logp -2.93195155998
180 action-logp -2.84181658194
180 whole-Plan-logp -2.84890992593
181 action-logp -2.86130090385
181 whole-Plan-logp -2.92722654621
182 action-logp -2.71558465359
182 whole-Plan-logp -2.75769740093
183 action-logp -2.5845462148
183 whole-Plan-logp -2.97319215848
184 action-logp -2.69668063316
184 whole-Plan-logp -2.77135774482
185 action-logp -2.62155171647
185 whole-Plan-logp -2.98454118806
186 action-logp -2.88045654391
186 whole-Plan-logp -2.8303086168
187 action-logp -2.77436753271
187 whole-Plan-logp -2.80408585927
188 action-logp -2.71695992773
188 whole-Plan-logp -2.86566775236
189 action-logp -2.72744289612
189 whole-Plan-logp -2.83776409519
190 action-logp -2.58220308889
