{'is_stop': 'expandLG1000', 'h': 'magsize', 'expanded': 21, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 93, 'entry': 'entry', 'close_size': 17, 'open_size': 26}
{'is_stop': 'expandLG1000', 'h': 'magsize', 'expanded': 635, 'solution': 9, 'stops': 0, 'instance': 6, 'generated': 6361, 'entry': 'entry', 'close_size': 222, 'open_size': 1566}
{'is_stop': 'expandLG1000', 'h': 'magsize', 'expanded': 15026, 'solution': 67, 'stops': 1, 'instance': 7, 'generated': 158908, 'entry': 'entry', 'close_size': 222, 'open_size': 3134}
{'is_stop': 'expandLG1000', 'h': 'magsize', 'expanded': 527, 'solution': 7, 'stops': 0, 'instance': 8, 'generated': 5677, 'entry': 'entry', 'close_size': 177, 'open_size': 1541}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 164, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 1347, 'entry': 'entry', 'close_size': 59, 'open_size': 445}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 953, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 11684, 'entry': 'entry', 'close_size': 242, 'open_size': 4568}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 1296, 'solution': 8, 'stops': 0, 'instance': 2, 'generated': 16149, 'entry': 'entry', 'close_size': 252, 'open_size': 8142}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 986, 'solution': 9, 'stops': 0, 'instance': 3, 'generated': 8190, 'entry': 'entry', 'close_size': 146, 'open_size': 385}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 10270, 'solution': 18, 'stops': 1, 'instance': 4, 'generated': 93764, 'entry': 'entry', 'close_size': 229, 'open_size': 8224}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 22, 'solution': 7, 'stops': 0, 'instance': 5, 'generated': 98, 'entry': 'entry', 'close_size': 17, 'open_size': 26}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 610, 'solution': 9, 'stops': 0, 'instance': 6, 'generated': 6102, 'entry': 'entry', 'close_size': 223, 'open_size': 1424}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 11075, 'solution': 18, 'stops': 1, 'instance': 7, 'generated': 114305, 'entry': 'entry', 'close_size': 395, 'open_size': 5011}
{'is_stop': 'expandLG5000', 'h': 'magsize', 'expanded': 535, 'solution': 7, 'stops': 0, 'instance': 8, 'generated': 5752, 'entry': 'entry', 'close_size': 178, 'open_size': 1579}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 175, 'solution': 6, 'stops': 0, 'instance': 0, 'generated': 1425, 'entry': 'entry', 'close_size': 61, 'open_size': 486}
{'is_stop': '<lambda>', 'h': 'randh', 'expanded': 966, 'solution': 6, 'stops': 0, 'instance': 1, 'generated': 11871, 'entry': 'entry', 'close_size': 252, 'open_size': 4707}
