jsonfile,car_2,car_3,v_size,h_size,mag_nodes,mag_edges,path_length,num_sccs,max_scc_size
../psiturk-rushhour/static/json/1513820155_49_prb1002_7_.json,6,3,6,3,5,6,7,1,4
../psiturk-rushhour/static/json/1513865978_46_prb24727_7_.json,6,3,3,6,7,10,7,0,1
../psiturk-rushhour/static/json/1513865278_82_prb23121_7_.json,6,3,2,7,6,6,7,0,1
../psiturk-rushhour/static/json/1509568576_73_prb39262_11_.json,6,3,2,7,6,8,11,0,1
../psiturk-rushhour/static/json/1509465237_99_prb10626_16_.json,6,3,6,3,8,13,16,1,7
../psiturk-rushhour/static/json/1509423295_78_prb2510_11_.json,6,3,4,5,9,13,11,1,5
../psiturk-rushhour/static/json/1509585277_63_prb46639_16_.json,6,3,4,5,8,11,16,1,7
../psiturk-rushhour/static/json/1513865179_79_prb22879_7_.json,6,3,3,6,6,8,7,1,4
../psiturk-rushhour/static/json/1513856910_24_prb20263_7_.json,6,3,2,7,4,4,7,0,1
../psiturk-rushhour/static/json/1509587761_38_prb48146_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509586437_07_prb47346_14_.json,6,3,4,5,9,12,14,1,6
../psiturk-rushhour/static/json/1513872290_13_prb38955_7_.json,6,3,7,2,6,6,7,0,1
../psiturk-rushhour/static/json/1509428569_42_prb4696_11_.json,6,3,4,5,9,13,11,1,4
../psiturk-rushhour/static/json/1509585227_74_prb46580_16_.json,6,3,5,4,8,11,16,1,4
../psiturk-rushhour/static/json/1509429305_0_prb5252_11_.json,6,3,4,5,7,9,11,1,5
../psiturk-rushhour/static/json/1509722874_99_prb78361_16_.json,6,3,4,5,9,11,16,1,5
../psiturk-rushhour/static/json/1509720921_28_prb77214_16_.json,6,3,5,4,9,13,16,1,7
../psiturk-rushhour/static/json/1509558860_09_prb35611_14_.json,6,3,3,6,9,11,14,1,7
../psiturk-rushhour/static/json/1513871658_44_prb37575_7_.json,6,3,4,5,9,12,7,1,4
../psiturk-rushhour/static/json/1509503581_83_prb25861_16_.json,6,3,5,4,9,15,16,1,6
../psiturk-rushhour/static/json/1509637056_7_prb58853_16_.json,6,3,5,4,4,5,16,0,1
../psiturk-rushhour/static/json/1513825013_65_prb9433_7_.json,6,3,5,4,9,11,7,1,4
../psiturk-rushhour/static/json/1513829290_92_prb17101_7_.json,6,3,7,2,6,8,7,0,1
../psiturk-rushhour/static/json/1509466285_27_prb11222_14_.json,6,3,5,4,7,10,14,1,5
../psiturk-rushhour/static/json/1509682188_91_prb72455_11_.json,6,3,5,4,8,11,11,1,4
../psiturk-rushhour/static/json/1509602474_24_prb53328_11_.json,6,3,3,6,9,13,11,1,4
../psiturk-rushhour/static/json/1509476288_77_prb16567_11_.json,6,3,5,4,9,12,11,1,6
