Rec(t='1493057592.07', event='commit_move', piece='w', move_nu='33', move='(3, 3, 3)', instance='Jam-3'),13,9698,94937,3852,702
Rec(t='1493057597.26', event='commit_move', piece='r', move_nu='34', move='(3, 2, 2)', instance='Jam-3'),14,8939,90552,6341,709
Rec(t='1493057611.58', event='commit_move', piece='y', move_nu='35', move='(5, 2, 3)', instance='Jam-3'),15,16862,176513,17456,710
Rec(t='1493057617.15', event='commit_move', piece='b', move_nu='36', move='(1, 3, 2)', instance='Jam-3'),15,16828,175873,22230,710
Rec(t='1493057066.14', event='start', piece='None', move_nu='0', move='None', instance='Jam-1'),9,37662,417436,29121,996
Rec(t='1493057091.03', event='commit_move', piece='w', move_nu='0', move='(3, 0, 2)', instance='Jam-1'),8,23024,260343,41744,820
Rec(t='1493057101.46', event='commit_move', piece='b', move_nu='1', move='(0, 0, 3)', instance='Jam-1'),7,8225,94175,22747,645
Rec(t='1493057111.04', event='commit_move', piece='w', move_nu='2', move='(1, 0, 2)', instance='Jam-1'),7,9426,105778,23482,698
Rec(t='1493057127.91', event='commit_move', piece='l', move_nu='3', move='(3, 0, 3)', instance='Jam-1'),7,6135,69168,20216,533
Rec(t='1493057132.86', event='commit_move', piece='y', move_nu='4', move='(0, 3, 2)', instance='Jam-1'),6,1015,11010,4277,234
Rec(t='1493057139.05', event='commit_move', piece='B', move_nu='5', move='(0, 5, 3)', instance='Jam-1'),5,162,1566,801,85
Rec(t='1493057146.34', event='commit_move', piece='l', move_nu='6', move='(3, 3, 3)', instance='Jam-1'),6,464,4567,1599,158
Rec(t='1493057156.87', event='commit_move', piece='M', move_nu='7', move='(5, 1, 3)', instance='Jam-1'),6,517,5235,1945,178
Rec(t='1493057163.74', event='commit_move', piece='l', move_nu='8', move='(3, 0, 3)', instance='Jam-1'),5,168,1630,820,88
Rec(t='1493057169.5', event='commit_move', piece='c', move_nu='9', move='(1, 4, 2)', instance='Jam-1'),4,41,429,290,32
Rec(t='1493057174.8', event='commit_move', piece='l', move_nu='10', move='(3, 3, 3)', instance='Jam-1'),3,13,132,94,13
Rec(t='1493057181.1', event='commit_move', piece='M', move_nu='11', move='(5, 3, 3)', instance='Jam-1'),2,5,52,42,5
Rec(t='1493057187.17', event='commit_move', piece='r', move_nu='12', move='(4, 2, 2)', instance='Jam-1'),2,0,0,0,0
Rec(t='1493058046.63', event='start', piece='None', move_nu='0', move='None', instance='Jam-6'),10,65527,687630,122133,1017
Rec(t='1493058066.61', event='commit_move', piece='m', move_nu='0', move='(1, 5, 3)', instance='Jam-6'),10,60280,633117,123098,960
Rec(t='1493058072.18', event='commit_move', piece='y', move_nu='1', move='(4, 3, 3)', instance='Jam-6'),9,14218,154774,36934,596
Rec(t='1493058076.51', event='commit_move', piece='o', move_nu='2', move='(5, 3, 3)', instance='Jam-6'),8,3425,37696,11465,341
Rec(t='1493058096.79', event='commit_move', piece='r', move_nu='3', move='(0, 2, 2)', instance='Jam-6'),7,1400,14987,5997,248
Rec(t='1493058101.64', event='commit_move', piece='g', move_nu='4', move='(2, 0, 2)', instance='Jam-6'),6,327,3480,1897,119
Rec(t='1493058133.39', event='commit_move', piece='r', move_nu='5', move='(1, 2, 2)', instance='Jam-6'),6,231,2404,1289,87
Rec(t='1493058142.83', event='commit_move', piece='B', move_nu='6', move='(1, 3, 2)', instance='Jam-6'),5,86,860,493,48
Rec(t='1493058147.08', event='commit_move', piece='l', move_nu='7', move='(0, 2, 2)', instance='Jam-6'),4,20,201,149,17
Rec(t='1493058151.42', event='commit_move', piece='m', move_nu='8', move='(0, 5, 3)', instance='Jam-6'),3,6,58,47,6
Rec(t='1493058157.35', event='commit_move', piece='w', move_nu='9', move='(3, 3, 3)', instance='Jam-6'),2,3,30,25,3
Rec(t='1493058162.64', event='commit_move', piece='r', move_nu='10', move='(4, 2, 2)', instance='Jam-6'),2,0,0,0,0
Rec(t='1493058164.17', event='start', piece='None', move_nu='0', move='None', instance='Jam-7'),14,337376,3632157,135239,3352
Rec(t='1493058176.75', event='commit_move', piece='g', move_nu='0', move='(0, 3, 2)', instance='Jam-7'),15,568927,6784990,573614,3813
Rec(t='1493058183.42', event='commit_move', piece='M', move_nu='1', move='(3, 2, 2)', instance='Jam-7'),15,627244,7043709,277298,3690
Rec(t='1493058189.12', event='commit_move', piece='l', move_nu='2', move='(5, 4, 2)', instance='Jam-7'),14,605946,6560147,287128,3344
Rec(t='1493058203.19', event='commit_move', piece='r', move_nu='3', move='(0, 2, 2)', instance='Jam-7'),14,608720,6591119,289714,3355
Rec(t='1493058210.23', event='commit_move', piece='M', move_nu='4', move='(3, 1, 2)', instance='Jam-7'),14,556343,6163434,757335,3300
Rec(t='1493058224.24', event='commit_move', piece='r', move_nu='5', move='(1, 2, 2)', instance='Jam-7'),14,556373,6159949,755496,3286
Rec(t='1493058227.84', event='commit_move', piece='g', move_nu='6', move='(1, 3, 2)', instance='Jam-7'),14,557655,6174652,754108,3285
Rec(t='1493058238.71', event='commit_move', piece='M', move_nu='7', move='(3, 2, 2)', instance='Jam-7'),14,606127,6557769,285257,3328
Rec(t='1493058245.83', event='commit_move', piece='c', move_nu='8', move='(4, 4, 2)', instance='Jam-7'),13,695692,7350397,252789,2657
