Rec(t='1490117598.97', event='start', piece='None', move_nu='0', move='None', instance='Jam-1')| 9
Rec(t='1490117612.14', event='commit_move', piece='w', move_nu='0', move='(1, 0, 2)', instance='Jam-1')| 8
Rec(t='1490117617.36', event='commit_move', piece='b', move_nu='1', move='(0, 0, 3)', instance='Jam-1')| 7
Rec(t='1490117622.56', event='commit_move', piece='y', move_nu='2', move='(0, 3, 2)', instance='Jam-1')| 6
Rec(t='1490117624.85', event='commit_move', piece='B', move_nu='3', move='(0, 5, 3)', instance='Jam-1')| 5
Rec(t='1490117627.31', event='commit_move', piece='l', move_nu='4', move='(3, 3, 3)', instance='Jam-1')| 6
Rec(t='1490117638.79', event='commit_move', piece='r', move_nu='5', move='(3, 2, 2)', instance='Jam-1')| 7
Rec(t='1490117688.16', event='commit_move', piece='r', move_nu='6', move='(2, 2, 2)', instance='Jam-1')| 7
Rec(t='1490117696.52', event='commit_move', piece='r', move_nu='7', move='(1, 2, 2)', instance='Jam-1')| 6
Rec(t='1490117701.3', event='commit_move', piece='l', move_nu='8', move='(3, 1, 3)', instance='Jam-1')| 5
Rec(t='1490117714.76', event='commit_move', piece='c', move_nu='9', move='(1, 4, 2)', instance='Jam-1')| 4
Rec(t='1490117717.41', event='commit_move', piece='l', move_nu='10', move='(3, 3, 3)', instance='Jam-1')| 3
Rec(t='1490117719.41', event='commit_move', piece='r', move_nu='11', move='(3, 2, 2)', instance='Jam-1')| 3
Rec(t='1490117721.56', event='commit_move', piece='M', move_nu='12', move='(5, 3, 3)', instance='Jam-1')| 2
Rec(t='1490117722.44', event='commit_move', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-1')| 2
Rec(t='1490118093.23', event='start', piece='None', move_nu='0', move='None', instance='Jam-6')| 11
Rec(t='1490118116.31', event='commit_move', piece='g', move_nu='0', move='(2, 4, 2)', instance='Jam-6')| 12
Rec(t='1490118117.38', event='commit_move', piece='B', move_nu='1', move='(1, 3, 2)', instance='Jam-6')| 13
Rec(t='1490118118.41', event='commit_move', piece='M', move_nu='2', move='(1, 1, 2)', instance='Jam-6')| 14
Rec(t='1490118119.61', event='commit_move', piece='b', move_nu='3', move='(1, 0, 2)', instance='Jam-6')| 15
Rec(t='1490118124.78', event='commit_move', piece='l', move_nu='4', move='(0, 0, 2)', instance='Jam-6')| 8
Rec(t='1490118139.79', event='commit_move', piece='B', move_nu='5', move='(0, 3, 2)', instance='Jam-6')| 7
Rec(t='1490118141.0', event='commit_move', piece='g', move_nu='6', move='(2, 3, 2)', instance='Jam-6')| 6
Rec(t='1490118142.49', event='commit_move', piece='m', move_nu='7', move='(0, 5, 3)', instance='Jam-6')| 5
Rec(t='1490118144.17', event='commit_move', piece='w', move_nu='8', move='(3, 3, 3)', instance='Jam-6')| 4
Rec(t='1490118145.66', event='commit_move', piece='y', move_nu='9', move='(4, 3, 3)', instance='Jam-6')| 3
Rec(t='1490118147.19', event='commit_move', piece='o', move_nu='10', move='(5, 3, 3)', instance='Jam-6')| 2
Rec(t='1490118148.06', event='commit_move', piece='r', move_nu='11', move='(4, 2, 2)', instance='Jam-6')| 2
Rec(t='1490118150.18', event='start', piece='None', move_nu='0', move='None', instance='Jam-7')| 14
Rec(t='1490118169.07', event='commit_move', piece='l', move_nu='0', move='(5, 3, 2)', instance='Jam-7')| 13
Rec(t='1490118170.02', event='commit_move', piece='c', move_nu='1', move='(4, 1, 2)', instance='Jam-7')| 13
Rec(t='1490118171.27', event='commit_move', piece='B', move_nu='2', move='(5, 1, 2)', instance='Jam-7')| 12
Rec(t='1490118174.75', event='commit_move', piece='y', move_nu='3', move='(4, 0, 2)', instance='Jam-7')| 11
Rec(t='1490118176.02', event='commit_move', piece='M', move_nu='4', move='(3, 0, 2)', instance='Jam-7')| 10
Rec(t='1490118223.53', event='commit_move', piece='r', move_nu='5', move='(2, 2, 2)', instance='Jam-7')| 9
Rec(t='1490118225.65', event='commit_move', piece='b', move_nu='6', move='(1, 4, 2)', instance='Jam-7')| 8
Rec(t='1490118236.82', event='commit_move', piece='c', move_nu='7', move='(4, 4, 2)', instance='Jam-7')| 7
Rec(t='1490118274.42', event='commit_move', piece='r', move_nu='8', move='(0, 2, 2)', instance='Jam-7')| 6
Rec(t='1490118279.51', event='commit_move', piece='g', move_nu='9', move='(0, 3, 2)', instance='Jam-7')| 6
Rec(t='1490118280.79', event='commit_move', piece='M', move_nu='10', move='(3, 2, 2)', instance='Jam-7')| 5
Rec(t='1490118282.24', event='commit_move', piece='y', move_nu='11', move='(0, 0, 2)', instance='Jam-7')| 4
Rec(t='1490118283.36', event='commit_move', piece='B', move_nu='12', move='(5, 0, 2)', instance='Jam-7')| 3
Rec(t='1490118285.59', event='commit_move', piece='M', move_nu='13', move='(3, 0, 2)', instance='Jam-7')| 2
Rec(t='1490118286.94', event='commit_move', piece='r', move_nu='14', move='(4, 2, 2)', instance='Jam-7')| 2
Rec(t='1490118028.05', event='start', piece='None', move_nu='0', move='None', instance='Jam-4')| 10
Rec(t='1490118036.57', event='commit_move', piece='l', move_nu='0', move='(0, 3, 3)', instance='Jam-4')| 9
Rec(t='1490118038.2', event='commit_move', piece='r', move_nu='1', move='(0, 2, 2)', instance='Jam-4')| 8
Rec(t='1490118040.1', event='commit_move', piece='b', move_nu='2', move='(2, 0, 2)', instance='Jam-4')| 7
Rec(t='1490118047.06', event='commit_move', piece='r', move_nu='3', move='(1, 2, 2)', instance='Jam-4')| 6
Rec(t='1490118048.49', event='commit_move', piece='l', move_nu='4', move='(0, 0, 3)', instance='Jam-4')| 5
Rec(t='1490118050.33', event='commit_move', piece='w', move_nu='5', move='(0, 3, 3)', instance='Jam-4')| 4
Rec(t='1490118052.99', event='commit_move', piece='c', move_nu='6', move='(0, 5, 3)', instance='Jam-4')| 3
Rec(t='1490118054.59', event='commit_move', piece='y', move_nu='7', move='(3, 3, 3)', instance='Jam-4')| 2
Rec(t='1490118055.66', event='commit_move', piece='r', move_nu='8', move='(4, 2, 2)', instance='Jam-4')| 2
Rec(t='1490118058.02', event='start', piece='None', move_nu='0', move='None', instance='Jam-5')| 10
Rec(t='1490118071.99', event='commit_move', piece='g', move_nu='0', move='(1, 4, 2)', instance='Jam-5')| 9
Rec(t='1490118073.74', event='commit_move', piece='l', move_nu='1', move='(1, 5, 2)', instance='Jam-5')| 8
Rec(t='1490118076.2', event='commit_move', piece='w', move_nu='2', move='(4, 0, 3)', instance='Jam-5')| 8
Rec(t='1490118077.81', event='commit_move', piece='m', move_nu='3', move='(5, 4, 2)', instance='Jam-5')| 7
Rec(t='1490118083.23', event='commit_move', piece='b', move_nu='4', move='(1, 0, 2)', instance='Jam-5')| 6
