Rec(t='1489784225.41', event='commit_move', piece='B', move_nu='32', move='(0, 4, 2)', instance='Jam-16') 4
Rec(t='1489784226.69', event='commit_move', piece='w', move_nu='33', move='(0, 3, 3)', instance='Jam-16') 3
Rec(t='1489784228.43', event='commit_move', piece='y', move_nu='34', move='(5, 3, 3)', instance='Jam-16') 2
Rec(t='1489784229.48', event='win', piece='r', move_nu='35', move='(4, 2, 2)', instance='Jam-16') 2
Rec(t='1489782499.77', event='start', piece='None', move_nu='0', move='None', instance='Jam-1') 9
Rec(t='1489782551.13', event='commit_move', piece='c', move_nu='0', move='(1, 4, 2)', instance='Jam-1') 8
Rec(t='1489782554.67', event='commit_move', piece='w', move_nu='1', move='(1, 0, 2)', instance='Jam-1') 7
Rec(t='1489782560.49', event='commit_move', piece='b', move_nu='2', move='(0, 0, 3)', instance='Jam-1') 6
Rec(t='1489782562.44', event='commit_move', piece='y', move_nu='3', move='(0, 3, 2)', instance='Jam-1') 5
Rec(t='1489782566.0', event='commit_move', piece='B', move_nu='4', move='(0, 5, 3)', instance='Jam-1') 4
Rec(t='1489782569.06', event='commit_move', piece='l', move_nu='5', move='(3, 3, 3)', instance='Jam-1') 3
Rec(t='1489782571.17', event='commit_move', piece='M', move_nu='6', move='(5, 3, 3)', instance='Jam-1') 2
Rec(t='1489782573.06', event='win', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-1') 2
Rec(t='1489782838.02', event='start', piece='None', move_nu='0', move='None', instance='Jam-6') 11
Rec(t='1489782857.2', event='commit_move', piece='r', move_nu='0', move='(0, 2, 2)', instance='Jam-6') 10
Rec(t='1489782860.18', event='commit_move', piece='g', move_nu='1', move='(2, 0, 2)', instance='Jam-6') 9
Rec(t='1489782864.75', event='commit_move', piece='r', move_nu='2', move='(1, 2, 2)', instance='Jam-6') 9
Rec(t='1489782866.49', event='commit_move', piece='B', move_nu='3', move='(1, 3, 2)', instance='Jam-6') 8
Rec(t='1489782872.17', event='commit_move', piece='l', move_nu='4', move='(0, 3, 2)', instance='Jam-6') 6
Rec(t='1489782874.37', event='commit_move', piece='m', move_nu='5', move='(0, 5, 3)', instance='Jam-6') 5
Rec(t='1489782876.72', event='commit_move', piece='w', move_nu='6', move='(3, 3, 3)', instance='Jam-6') 4
Rec(t='1489782878.68', event='commit_move', piece='y', move_nu='7', move='(4, 3, 3)', instance='Jam-6') 3
Rec(t='1489782880.51', event='commit_move', piece='o', move_nu='8', move='(5, 3, 3)', instance='Jam-6') 2
Rec(t='1489782882.24', event='win', piece='r', move_nu='9', move='(4, 2, 2)', instance='Jam-6') 2
Rec(t='1489782884.64', event='start', piece='None', move_nu='0', move='None', instance='Jam-7') 14
Rec(t='1489782916.49', event='commit_move', piece='l', move_nu='0', move='(5, 4, 2)', instance='Jam-7') 13
Rec(t='1489782919.8', event='commit_move', piece='c', move_nu='1', move='(4, 4, 2)', instance='Jam-7') 12
Rec(t='1489782924.63', event='commit_move', piece='B', move_nu='2', move='(5, 2, 2)', instance='Jam-7') 11
Rec(t='1489782926.5', event='commit_move', piece='y', move_nu='3', move='(4, 0, 2)', instance='Jam-7') 10
Rec(t='1489782928.35', event='commit_move', piece='M', move_nu='4', move='(3, 0, 2)', instance='Jam-7') 9
Rec(t='1489782931.47', event='commit_move', piece='r', move_nu='5', move='(2, 2, 2)', instance='Jam-7') 8
Rec(t='1489782934.29', event='commit_move', piece='b', move_nu='6', move='(1, 4, 2)', instance='Jam-7') 7
Rec(t='1489782938.72', event='commit_move', piece='g', move_nu='7', move='(0, 3, 2)', instance='Jam-7') 7
Rec(t='1489782942.71', event='commit_move', piece='r', move_nu='8', move='(1, 2, 2)', instance='Jam-7') 6
Rec(t='1489782944.62', event='commit_move', piece='M', move_nu='9', move='(3, 2, 2)', instance='Jam-7') 5
Rec(t='1489782946.91', event='commit_move', piece='y', move_nu='10', move='(0, 0, 2)', instance='Jam-7') 4
Rec(t='1489782948.84', event='commit_move', piece='B', move_nu='11', move='(5, 0, 2)', instance='Jam-7') 3
Rec(t='1489782950.93', event='commit_move', piece='M', move_nu='12', move='(3, 0, 2)', instance='Jam-7') 2
Rec(t='1489782952.73', event='win', piece='r', move_nu='13', move='(4, 2, 2)', instance='Jam-7') 2
Rec(t='1489782756.84', event='start', piece='None', move_nu='0', move='None', instance='Jam-4') 10
Rec(t='1489782776.37', event='commit_move', piece='l', move_nu='0', move='(0, 3, 3)', instance='Jam-4') 9
Rec(t='1489782777.99', event='commit_move', piece='r', move_nu='1', move='(0, 2, 2)', instance='Jam-4') 8
Rec(t='1489782780.06', event='commit_move', piece='b', move_nu='2', move='(2, 0, 2)', instance='Jam-4') 7
Rec(t='1489782782.19', event='commit_move', piece='r', move_nu='3', move='(1, 2, 2)', instance='Jam-4') 6
Rec(t='1489782784.96', event='commit_move', piece='l', move_nu='4', move='(0, 0, 3)', instance='Jam-4') 5
Rec(t='1489782787.03', event='commit_move', piece='w', move_nu='5', move='(0, 3, 3)', instance='Jam-4') 4
Rec(t='1489782789.23', event='commit_move', piece='c', move_nu='6', move='(0, 5, 3)', instance='Jam-4') 3
Rec(t='1489782791.6', event='commit_move', piece='y', move_nu='7', move='(3, 3, 3)', instance='Jam-4') 2
Rec(t='1489782792.98', event='win', piece='r', move_nu='8', move='(4, 2, 2)', instance='Jam-4') 2
Rec(t='1489782794.84', event='start', piece='None', move_nu='0', move='None', instance='Jam-5') 10
