Rec(t='1490038351.69', event='commit_move', piece='y', move_nu='12', move='(5, 3, 3)', instance='Jam-16') 13
Rec(t='1490038380.01', event='commit_move', piece='w', move_nu='13', move='(2, 3, 3)', instance='Jam-16') 12
Rec(t='1490038381.14', event='commit_move', piece='l', move_nu='14', move='(1, 3, 2)', instance='Jam-16') 13
Rec(t='1490038381.79', event='commit_move', piece='B', move_nu='15', move='(0, 3, 2)', instance='Jam-16') 12
Rec(t='1490038382.78', event='commit_move', piece='m', move_nu='16', move='(0, 5, 2)', instance='Jam-16') 10
Rec(t='1490038385.08', event='commit_move', piece='y', move_nu='17', move='(5, 0, 3)', instance='Jam-16') 10
Rec(t='1490038386.23', event='commit_move', piece='w', move_nu='18', move='(3, 3, 3)', instance='Jam-16') 9
Rec(t='1490038387.33', event='commit_move', piece='o', move_nu='19', move='(2, 3, 3)', instance='Jam-16') 8
Rec(t='1490038389.21', event='commit_move', piece='r', move_nu='20', move='(3, 2, 2)', instance='Jam-16') 5
Rec(t='1490038390.65', event='commit_move', piece='o', move_nu='21', move='(2, 0, 3)', instance='Jam-16') 4
Rec(t='1490038392.13', event='commit_move', piece='w', move_nu='22', move='(2, 3, 3)', instance='Jam-16') 3
Rec(t='1490038393.05', event='commit_move', piece='y', move_nu='23', move='(5, 3, 3)', instance='Jam-16') 2
Rec(t='1490038393.43', event='win', piece='r', move_nu='24', move='(4, 2, 2)', instance='Jam-16') 2
Rec(t='1490036696.23', event='start', piece='None', move_nu='0', move='None', instance='Jam-1') 9
Rec(t='1490036709.38', event='commit_move', piece='c', move_nu='0', move='(1, 4, 2)', instance='Jam-1') 8
Rec(t='1490036731.54', event='commit_move', piece='w', move_nu='1', move='(1, 0, 2)', instance='Jam-1') 7
Rec(t='1490036733.31', event='commit_move', piece='b', move_nu='2', move='(0, 0, 3)', instance='Jam-1') 6
Rec(t='1490036736.18', event='commit_move', piece='y', move_nu='3', move='(0, 3, 2)', instance='Jam-1') 5
Rec(t='1490036737.43', event='commit_move', piece='B', move_nu='4', move='(0, 5, 3)', instance='Jam-1') 4
Rec(t='1490036738.95', event='commit_move', piece='l', move_nu='5', move='(3, 3, 3)', instance='Jam-1') 3
Rec(t='1490036740.33', event='commit_move', piece='M', move_nu='6', move='(5, 3, 3)', instance='Jam-1') 2
Rec(t='1490036741.03', event='win', piece='r', move_nu='7', move='(4, 2, 2)', instance='Jam-1') 2
Rec(t='1490036968.88', event='start', piece='None', move_nu='0', move='None', instance='Jam-6') 11
Rec(t='1490036997.82', event='commit_move', piece='M', move_nu='0', move='(1, 1, 2)', instance='Jam-6') 12
Rec(t='1490036998.54', event='commit_move', piece='b', move_nu='1', move='(1, 0, 2)', instance='Jam-6') 13
