subject,instance,h_epsilon,learning_iter,exp,trials
andra.log,Jam-1,0.245124800999,1,15.9507350972,21
andra.log,Jam-2,0.245124800999,1,15.9507350972,14
andra.log,Jam-3,0.245124800999,1,15.9507350972,21
andra.log,Jam-4,0.245124800999,1,15.9507350972,6
andra.log,Jam-5,0.245124800999,1,15.9507350972,21
andra.log,Jam-6,0.245124800999,1,15.9507350972,21
andra.log,Jam-7,0.245124800999,1,15.9507350972,21
andra.log,Jam-8,0.245124800999,1,15.9507350972,4
andra.log,Jam-9,0.245124800999,1,15.9507350972,5
andra.log,Jam-10,0.245124800999,1,15.9507350972,21
andra.log,Jam-1,0.322274383161,1,15.9507350972,8
andra.log,Jam-2,0.322274383161,1,15.9507350972,9
andra.log,Jam-3,0.322274383161,1,15.9507350972,21
andra.log,Jam-4,0.322274383161,1,15.9507350972,7
andra.log,Jam-5,0.322274383161,1,15.9507350972,21
andra.log,Jam-6,0.322274383161,1,15.9507350972,21
andra.log,Jam-7,0.322274383161,1,15.9507350972,21
andra.log,Jam-8,0.322274383161,1,15.9507350972,10
andra.log,Jam-9,0.322274383161,1,15.9507350972,3
andra.log,Jam-10,0.322274383161,1,15.9507350972,21
andra.log,Jam-1,0.322274383161,1,15.2553309008,21
andra.log,Jam-2,0.322274383161,1,15.2553309008,11
andra.log,Jam-3,0.322274383161,1,15.2553309008,21
andra.log,Jam-4,0.322274383161,1,15.2553309008,21
andra.log,Jam-5,0.322274383161,1,15.2553309008,21
andra.log,Jam-6,0.322274383161,1,15.2553309008,21
andra.log,Jam-7,0.322274383161,1,15.2553309008,21
andra.log,Jam-8,0.322274383161,1,15.2553309008,21
andra.log,Jam-9,0.322274383161,1,15.2553309008,4
andra.log,Jam-10,0.322274383161,1,15.2553309008,21
andra.log,Jam-1,0.0904977235379,1,15.2553309008,21
andra.log,Jam-2,0.0904977235379,1,15.2553309008,8
andra.log,Jam-3,0.0904977235379,1,15.2553309008,21
andra.log,Jam-4,0.0904977235379,1,15.2553309008,4
andra.log,Jam-5,0.0904977235379,1,15.2553309008,21
andra.log,Jam-6,0.0904977235379,1,15.2553309008,21
andra.log,Jam-7,0.0904977235379,1,15.2553309008,6
andra.log,Jam-8,0.0904977235379,1,15.2553309008,10
andra.log,Jam-9,0.0904977235379,1,15.2553309008,7
andra.log,Jam-10,0.0904977235379,1,15.2553309008,21
andra.log,Jam-1,0.0904977235379,1,15.2553309008,21
andra.log,Jam-2,0.0904977235379,1,15.2553309008,8
andra.log,Jam-3,0.0904977235379,1,15.2553309008,21
andra.log,Jam-4,0.0904977235379,1,15.2553309008,14
andra.log,Jam-5,0.0904977235379,1,15.2553309008,21
andra.log,Jam-6,0.0904977235379,1,15.2553309008,21
andra.log,Jam-7,0.0904977235379,1,15.2553309008,21
andra.log,Jam-8,0.0904977235379,1,15.2553309008,21
andra.log,Jam-9,0.0904977235379,1,15.2553309008,3
andra.log,Jam-10,0.0904977235379,1,15.2553309008,21
andra.log,Jam-1,0.287345858868,1,15.2553309008,21
andra.log,Jam-2,0.287345858868,1,15.2553309008,3
andra.log,Jam-3,0.287345858868,1,15.2553309008,21
andra.log,Jam-4,0.287345858868,1,15.2553309008,21
andra.log,Jam-5,0.287345858868,1,15.2553309008,21
andra.log,Jam-6,0.287345858868,1,15.2553309008,21
andra.log,Jam-7,0.287345858868,1,15.2553309008,1
andra.log,Jam-8,0.287345858868,1,15.2553309008,21
andra.log,Jam-9,0.287345858868,1,15.2553309008,3
andra.log,Jam-10,0.287345858868,1,15.2553309008,21
andra.log,Jam-1,0.287345858868,1,15.2553309008,21
andra.log,Jam-2,0.287345858868,1,15.2553309008,21
andra.log,Jam-3,0.287345858868,1,15.2553309008,21
andra.log,Jam-4,0.287345858868,1,15.2553309008,21
andra.log,Jam-5,0.287345858868,1,15.2553309008,1
andra.log,Jam-6,0.287345858868,1,15.2553309008,21
andra.log,Jam-7,0.287345858868,1,15.2553309008,21
andra.log,Jam-8,0.287345858868,1,15.2553309008,21
andra.log,Jam-9,0.287345858868,1,15.2553309008,2
andra.log,Jam-10,0.287345858868,1,15.2553309008,21
andra.log,Jam-1,0.606946432646,1,15.2553309008,21
andra.log,Jam-2,0.606946432646,1,15.2553309008,21
andra.log,Jam-3,0.606946432646,1,15.2553309008,21
andra.log,Jam-4,0.606946432646,1,15.2553309008,21
andra.log,Jam-5,0.606946432646,1,15.2553309008,21
andra.log,Jam-6,0.606946432646,1,15.2553309008,21
andra.log,Jam-7,0.606946432646,1,15.2553309008,21
andra.log,Jam-8,0.606946432646,1,15.2553309008,21
andra.log,Jam-9,0.606946432646,1,15.2553309008,1
andra.log,Jam-10,0.606946432646,1,15.2553309008,21
andra.log,Jam-1,0.606946432646,1,15.2553309008,21
andra.log,Jam-2,0.606946432646,1,15.2553309008,21
andra.log,Jam-3,0.606946432646,1,15.2553309008,21
andra.log,Jam-4,0.606946432646,1,15.2553309008,21
