subject, instance, optimal_length, human_length, complete, start_time, end_time, rt,nodes_expanded, skipped, trial_number
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,999,32,False,1.51630404766e+12,1.51630407583e+12,28169.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb9718,999,16,True,1.51630407852e+12,1.51630409494e+12,16419.0,999,False,1
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb47495,999,42,True,1.51630409706e+12,1.51630414412e+12,47054.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb29585,999,39,False,1.5163041448e+12,1.51630420092e+12,56118.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb29585,999,15,False,1.51630420294e+12,1.51630421924e+12,16295.0,999,False,1
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb29585,999,40,True,1.51630424871e+12,1.51630429351e+12,44805.0,999,False,2
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb38725,999,67,True,1.51630429452e+12,1.5163043516e+12,57070.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb8786,999,16,True,1.51630435266e+12,1.5163043772e+12,24546.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb11647,999,11,True,1.51630437802e+12,1.51630438775e+12,9731.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb44171,999,34,True,1.51630438836e+12,1.51630474636e+12,358000.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb1267,999,6,False,1.51630475713e+12,1.51630485319e+12,96055.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb1267,999,4,False,1.51630485683e+12,1.51630487208e+12,15257.0,999,False,1
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb1267,999,17,True,1.51630488459e+12,1.51630491563e+12,31036.0,999,False,2
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb29414,999,11,True,1.51630491640e+12,1.51630501123e+12,94823.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb29027,999,16,True,1.51630501223e+12,1.51630514016e+12,127923.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb22436,999,11,True,1.51630514095e+12,1.51630519731e+12,56362.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb21272,999,7,True,1.51630519804e+12,1.51630527973e+12,81686.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb62015,999,12,True,1.51630528108e+12,1.51630533736e+12,56277.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb24406,999,16,True,1.51630533864e+12,1.516305404e+12,65357.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb13171,999,7,True,1.51630540483e+12,1.51630556622e+12,161387.0,999,False,0
A39GADIK8RLMVC:36AHBNMV1SKT9O0GSS6XX0QHZV3YDN,prb58853,999,1,False,1.51630556783e+12,1.51630556783e+12,0.0,999,True,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb11647,999,19,True,1.51630448249e+12,1.5163045163e+12,33812.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb38725,999,33,True,1.5163045177e+12,1.51630458781e+12,70104.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb38526,999,12,True,1.5163045886e+12,1.51630460214e+12,13539.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb29585,999,61,True,1.51630460285e+12,1.51630468701e+12,84160.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb24227,999,51,True,1.51630468771e+12,1.51630474701e+12,59297.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb33117,999,113,True,1.51630474776e+12,1.5163051501e+12,402343.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb3217,999,154,True,1.51630515078e+12,1.51630548911e+12,338331.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb45893,999,26,True,1.51630548986e+12,1.51630553107e+12,41204.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb44171,999,57,True,1.51630553176e+12,1.5163055894e+12,57632.0,999,False,0
ARWF605I7RWM7:3AZHRG4CU5SYU12YRVPCSZALW5003R,prb1707,999,9,True,1.51630559011e+12,1.51630559847e+12,8355.0,999,False,0
