A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,0,1516059877484,"{""phase"": ""INSTRUCTIONS"", ""templates"": [""instructions/instruct-1.html"", ""instructions/instruct-2.html"", ""instructions/instruct-2_2.html"", ""instructions/instruct-3.html"", ""instructions/instruct-4.html"", ""instructions/instruct-5.html"", ""instructions/instruct-6.html"", ""instructions/instruct-ready.html""], ""action"": ""Begin""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,1,1516059878803,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 0, ""viewTime"": 1316, ""action"": ""NextPage"", ""template"": ""instructions/instruct-1.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,2,1516059879875,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 1, ""viewTime"": 1071, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,3,1516059880597,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 2, ""viewTime"": 721, ""action"": ""NextPage"", ""template"": ""instructions/instruct-2_2.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,4,1516059881287,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 3, ""viewTime"": 689, ""action"": ""NextPage"", ""template"": ""instructions/instruct-3.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,5,1516059882271,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 4, ""viewTime"": 982, ""action"": ""NextPage"", ""template"": ""instructions/instruct-4.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,6,1516059883752,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 5, ""viewTime"": 1480, ""action"": ""NextPage"", ""template"": ""instructions/instruct-5.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,7,1516059894929,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 6, ""viewTime"": 11176, ""action"": ""NextPage"", ""template"": ""instructions/instruct-6.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,8,1516059896410,"{""phase"": ""INSTRUCTIONS"", ""indexOf"": 7, ""viewTime"": 1479, ""action"": ""FinishInstructions"", ""template"": ""instructions/instruct-ready.html""}"
A2NO0HQPTYBTRH:3IO1LGZLKA5F99UJ51U6ML3IMP068U,9,1516059896533,""" t:[1516059896533] event:[start] piece:[NA] move#:[0] move:[NA] instance:[prb29027]"""
