subject, instance, optimal_length, human_length, complete, rt,nodes_expanded, skipped, trial_number
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb37893,999,2,False,103690.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb28956,999,2,False,15483.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb21044,999,2,False,29258.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb34092,999,2,False,24866.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb34092,999,2,False,18108.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb34405,999,2,False,16628.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb489,999,3,False,9309.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb41543,999,2,False,24988.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25973,999,2,False,25113.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25973,999,2,False,45791.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb33117,999,2,False,62083.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb33117,999,2,False,60567.0,999,False,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb33117,999,2,False,26311.0,999,True,2
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb25871,999,2,False,19931.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb2510,999,2,False,24992.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb7031,999,2,False,83774.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb7031,999,1,False,0.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb1092,999,3,False,20237.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb33282,999,3,False,13173.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb44171,999,2,False,25945.0,999,True,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb6294,999,2,False,145773.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb6294,999,2,False,28035.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb55905,999,2,False,189210.0,999,False,0
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb55905,999,2,False,30171.0,999,True,1
A2NO0HQPTYBTRH:3KAKFY4PGVA91WJEVL8ZS7LCFSN3I9,prb21032,999,3,False,12194.0,999,True,0
